0001_12step.mp3,G minor,113
0003_6foot7foot.mp3,G minor,84
0004_abc.mp3,A♭ major,94
0005_again.mp3,G minor,52
0006_aint2proud2beg.mp3,C minor,105
0008_america.mp3,E minor,66
0009_americanmusic.mp3,C major,134
0011_areyouexperienced.mp3,A♭ minor,82
0012_aroundtheworld.mp3,G major,121
0013_athingaboutyou.mp3,A major,77
0014_babaoriley.mp3,F major,117
0015_babygotback.mp3,A♭ major,128
0017_badromance.mp3,A minor,119
0018_bassdownlow.mp3,E minor,113
0020_becauseofyou.mp3,B♭ minor,110
0021_better.mp3,C# minor,97
0022_betteroffalone.mp3,B major,136
0024_billionaire.mp3,A major,87
0026_blackandyellow.mp3,D minor,82
0027_blackened.mp3,E minor,65
0028_blackmagic.mp3,E major,90
0032_boomboompow.mp3,B minor,136
0035_boyfriend.mp3,B♭ minor,97
0036_breakingthegirl.mp3,A♭ minor,59
0037_breakyourheart.mp3,E♭ major,122
0038_bringmetolife.mp3,E minor,95
0039_bulletproof.mp3,B major,123
0040_bustamove.mp3,A major,118
0041_calabria.mp3,E♭ major,126
0042_callme.mp3,G major,61
0043_callmemaybe.mp3,G major,120
0044_cameraeye.mp3,F minor,83
0045_cantgetyou.mp3,A minor,126
0046_castlesmadeofsand.mp3,G minor,95
0047_chinacatsunflower.mp3,D major,89
0048_chingaling.mp3,A♭ major,102
0049_closer.mp3,E minor,126
0050_clubcanthandleme.mp3,C major,128
0053_commander.mp3,F# minor,125
0054_conceited.mp3,A♭ minor,100
0055_constantmotion.mp3,E major,89
0056_control.mp3,E♭ minor,122
0057_crankthat.mp3,C major,140
0058_criticalacclaim.mp3,D minor,138
0061_dabutt.mp3,C minor,97
0062_dance.mp3,A major,113
0063_daysgoby.mp3,D minor,127
0065_deadandbloated.mp3,D major,123
0066_decentdaysandnights.mp3,E major,86
0067_deep.mp3,A major,83
0068_devilsisland.mp3,E minor,83
0069_digginmedown.mp3,C minor,110
0070_dipitlow.mp3,A minor,84
0071_dirtypool.mp3,C# minor,147
0072_discoinferno.mp3,B minor,128
0073_disturbia.mp3,D major,125
0074_djgotusfallininlove.mp3,B♭ major,120
0075_dontcha.mp3,E♭ minor,120
0077_dontsweat.mp3,B♭ minor,106
0078_donttouchme.mp3,B major,113
0079_dontyouwantme.mp3,C major,118
0080_down.mp3,D major,132
0081_downonme.mp3,D minor,80
0082_dragosteadintei.mp3,C major,130
0083_dragthewaters.mp3,C# minor,126
0084_dropitlikeitshot.mp3,A♭ minor,91
0085_electricboogie.mp3,C# major,107
0086_escapade.mp3,A♭ major,115
0087_evacuate.mp3,G minor,127
0088_everybody.mp3,B♭ minor,108
0091_fellonblackdays.mp3,E minor,101
0092_fergalicious.mp3,B♭ minor,129
0093_fireburning.mp3,C# major,123
0094_fireflies.mp3,E♭ major,90
0095_firework.mp3,A♭ major,124
0096_fivemagics.mp3,E minor,64
0098_floods.mp3,E♭ minor,124
0099_forgetyou.mp3,C major,127
0100_futureperfecttense.mp3,D minor,120
0102_gangstaluv.mp3,A minor,102
0104_getbusy.mp3,F minor,100
0105_getdownonit.mp3,E minor,110
0106_getitshawty.mp3,C minor,128
0107_getlow.mp3,E♭ major,101
